name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.award_xp\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""award_xp"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_award_xp_c45ea6de19deba0cc034a7100163cbb9
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.get_leaderboard\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""get_leaderboard"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_get_leaderboard_78de06c51263d3b730a2445d56ee93e3
